Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OperatorSkillScore,RequiredSkillByRole,Name,Email,Phone Number,Skills
47,No,Non-Travel,989,Quality Control,9,2,Food Technology,1,28,2,Male,149,2,1,Farm Liaison Officer,3,Married,55342,16106,4,No,17,1,2,1,36,0,3,4,15,6,15,0.817906901,0.3,Amit Joshi,amit.joshi919@example.com,917000000000.0,
35,No,Frequently,812,Farm Operations,40,1,Food Technology,1,29,4,Male,92,2,2,Logistics & Supply Chain Coordinator,4,Single,105745,3310,7,No,22,4,4,1,15,4,2,17,14,2,15,0.208984921,0.35,Ankit Kapoor,ankit.kapoor158@example.com,919000000000.0,
34,No,Frequently,1378,Production,32,3,Mechanical Engineering,1,30,1,Female,86,1,3,Packaging Machine Operator,3,Married,40977,19001,1,No,17,4,3,0,16,0,4,28,16,10,11,0.418532116,0.4,Kavya Nair,kavya.nair309@example.com,918000000000.0,
22,Yes,Rarely,1088,Maintenance,20,2,Logistics,1,31,1,Female,115,2,1,Milk Processing Operator,4,Married,77396,17882,1,Yes,11,2,2,1,30,4,2,29,10,0,1,0.436031386,0.45,Dev Trivedi,dev.trivedi964@example.com,919000000000.0,
56,No,Rarely,548,Quality Control,28,2,Mechanical Engineering,1,32,2,Male,66,2,4,Maintenance Engineer,1,Divorced,70021,6257,7,No,15,2,2,0,14,4,2,20,17,8,13,0.315899788,0.6,Sahil Sharma,sahil.sharma96@example.com,919000000000.0,
26,No,Rarely,1396,Maintenance,33,4,Mechanical Engineering,1,33,1,Female,89,3,2,Dairy Lab Technician,4,Single,89057,17846,9,No,16,4,1,0,12,5,2,20,15,4,10,0.435358181,0.55,Meera Mehta,meera.mehta609@example.com,917000000000.0,
40,No,Frequently,209,Maintenance,4,3,Dairy Science,1,34,1,Male,87,4,4,Milk Processing Operator,2,Single,86836,12420,8,No,21,2,2,2,39,5,4,15,14,9,8,0.610118891,0.45,Nisha Sharma,nisha.sharma510@example.com,918000000000.0,
28,No,Rarely,939,Logistics,46,2,Dairy Science,1,35,3,Female,134,3,4,Farm Liaison Officer,4,Single,47075,15012,6,No,16,2,3,0,26,1,3,3,10,0,6,0.564195519,0.3,Dev Trivedi,dev.trivedi991@example.com,920000000000.0,
58,No,Rarely,1488,Production,34,4,Logistics,1,36,3,Male,110,4,1,Dairy Quality Analyst,2,Married,109515,2468,7,Yes,12,1,4,0,20,3,2,26,12,10,11,0.423599151,0.55,Nisha Desai,nisha.desai736@example.com,917000000000.0,
37,No,Frequently,1470,Maintenance,48,4,Biotechnology,1,37,4,Female,58,3,1,Milk Processing Operator,3,Single,50802,7905,4,No,23,4,2,0,1,2,3,22,17,0,16,0.72452926,0.45,Meera Sharma,meera.sharma61@example.com,918000000000.0,
23,No,Rarely,866,Farm Operations,3,1,Dairy Science,1,38,1,Female,126,1,3,Milk Processing Operator,4,Divorced,97761,14308,0,No,23,1,4,0,7,0,2,9,7,0,8,0.700353405,0.45,Rohit Rana,rohit.rana530@example.com,918000000000.0,
44,No,Rarely,745,Farm Operations,26,4,Biotechnology,1,39,4,Female,124,2,1,Maintenance Engineer,2,Divorced,97017,17634,3,No,18,1,4,0,6,4,3,21,8,11,5,0.396487534,0.6,Sahil Rana,sahil.rana222@example.com,920000000000.0,
33,No,Rarely,328,Logistics,8,2,Food Technology,1,40,4,Male,110,4,1,Maintenance Engineer,4,Single,106753,16801,1,Yes,11,2,3,2,9,0,2,1,10,8,11,0.426259875,0.6,Riya Iyer,riya.iyer672@example.com,916000000000.0,
28,No,Non-Travel,800,Production,6,1,Dairy Science,1,41,1,Male,129,1,3,Milk Processing Operator,4,Married,75822,19523,2,No,20,1,1,1,3,3,3,14,16,12,19,0.401264139,0.45,Karan Reddy,karan.reddy915@example.com,917000000000.0,
45,No,Frequently,804,Production,16,1,Dairy Science,1,42,2,Male,65,2,4,Dairy Quality Analyst,4,Divorced,71603,11628,2,No,12,3,1,2,35,3,1,3,0,7,9,0.290195817,0.55,Sneha Mehta,sneha.mehta535@example.com,918000000000.0,
21,No,Rarely,526,Farm Operations,24,2,Logistics,1,43,1,Female,51,2,3,Packaging Machine Operator,1,Divorced,100291,10728,8,Yes,24,2,4,2,34,2,4,28,10,10,8,0.72694715,0.4,Vivek Reddy,vivek.reddy811@example.com,918000000000.0,
39,No,Rarely,1179,Quality Control,48,3,Biotechnology,1,44,3,Female,121,2,3,Dairy Quality Analyst,2,Married,110450,19335,9,Yes,20,3,2,1,2,2,2,15,6,12,11,0.232393557,0.55,Amit Pillai,amit.pillai347@example.com,917000000000.0,
47,No,Non-Travel,603,Logistics,39,4,Dairy Science,1,45,1,Male,92,3,3,Dairy Quality Analyst,1,Divorced,55592,13005,3,No,11,2,4,0,17,4,4,29,7,14,0,0.305406346,0.55,Sneha Malhotra,sneha.malhotra173@example.com,916000000000.0,
26,No,Frequently,828,Logistics,30,1,Dairy Science,1,46,2,Female,91,1,2,Dairy Quality Analyst,1,Married,76006,9890,1,Yes,20,1,1,1,23,5,2,26,18,12,1,0.273713162,0.55,Nisha Kapoor,nisha.kapoor91@example.com,919000000000.0,
27,No,Rarely,917,Farm Operations,45,3,Logistics,1,47,4,Male,126,1,4,Packaging Machine Operator,2,Divorced,46269,9077,2,No,18,2,2,0,31,2,1,6,3,5,18,0.777737283,0.4,Karan Pillai,karan.pillai879@example.com,918000000000.0,
54,No,Non-Travel,1240,Farm Operations,13,2,Logistics,1,48,4,Male,106,2,2,Cold Storage Supervisor,4,Married,70138,3971,2,Yes,13,3,1,1,33,5,1,24,3,9,0,0.230805961,0.4,Priya Gandhi,priya.gandhi954@example.com,917000000000.0,
33,No,Rarely,473,Quality Control,5,4,Biotechnology,1,49,3,Male,130,4,2,Cold Storage Supervisor,1,Divorced,82398,15568,6,No,11,2,3,2,1,5,4,24,18,14,15,0.665239103,0.4,Ankit Malhotra,ankit.malhotra456@example.com,917000000000.0,
36,No,Frequently,884,Quality Control,25,4,Food Technology,1,50,3,Male,137,1,1,Dairy Quality Analyst,1,Single,110091,3191,7,No,12,3,1,0,1,4,2,11,8,14,15,0.231132219,0.55,Nisha Rana,nisha.rana308@example.com,919000000000.0,
55,No,Frequently,315,Production,20,1,Food Technology,1,51,3,Female,116,3,3,Farm Liaison Officer,1,Divorced,39874,14820,5,No,22,4,2,2,9,1,3,2,16,5,17,0.750510383,0.3,Amit Iyer,amit.iyer919@example.com,917000000000.0,
59,No,Rarely,1060,Logistics,18,4,Mechanical Engineering,1,52,4,Female,79,4,3,Cheese Production Technician,4,Divorced,77228,9765,3,No,13,1,2,0,22,5,2,16,17,5,17,0.83889986,0.5,Meera Kapoor,meera.kapoor968@example.com,917000000000.0,
23,No,Non-Travel,892,Logistics,47,4,Dairy Science,1,53,3,Female,62,4,2,Cold Storage Supervisor,1,Single,82670,12254,5,No,24,3,4,1,14,4,3,8,0,3,12,0.540790216,0.4,Meera Rana,meera.rana717@example.com,917000000000.0,
21,No,Frequently,1314,Farm Operations,18,4,Biotechnology,1,54,1,Male,68,4,1,Dairy Lab Technician,3,Single,27925,5046,0,No,23,4,2,1,11,2,4,7,13,4,11,0.763179261,0.55,Amit Patel,amit.patel905@example.com,920000000000.0,
25,No,Frequently,1305,Production,2,4,Dairy Science,1,55,4,Female,56,4,1,Maintenance Engineer,2,Single,23107,13750,9,Yes,19,1,3,1,16,0,4,22,3,9,8,0.694487373,0.6,Dev Kapoor,dev.kapoor980@example.com,917000000000.0,
23,No,Rarely,523,Logistics,10,2,Biotechnology,1,56,2,Male,58,1,1,Packaging Machine Operator,3,Single,106388,14703,7,No,22,4,1,1,17,2,1,5,9,2,4,0.756944705,0.4,Riya Malhotra,riya.malhotra811@example.com,920000000000.0,
48,No,Rarely,1160,Production,45,3,Biotechnology,1,57,4,Male,132,2,4,Packaging Machine Operator,4,Married,115719,18688,0,Yes,15,3,4,1,13,3,3,29,13,2,8,0.73674264,0.4,Ankit Reddy,ankit.reddy561@example.com,919000000000.0,
37,No,Rarely,313,Production,47,2,Biotechnology,1,58,1,Male,103,4,2,Cheese Production Technician,1,Married,47617,10043,4,No,14,1,4,2,16,2,2,14,6,9,12,0.343757519,0.5,Karan Desai,karan.desai255@example.com,916000000000.0,
45,No,Frequently,1281,Farm Operations,12,2,Dairy Science,1,59,1,Male,135,3,4,Cold Storage Supervisor,2,Divorced,94258,6908,1,Yes,12,4,2,2,14,1,1,9,11,6,15,0.549691307,0.4,Riya Rana,riya.rana72@example.com,916000000000.0,
53,No,Rarely,353,Production,47,1,Logistics,1,60,3,Male,131,3,1,Maintenance Engineer,1,Divorced,70075,12627,5,No,19,3,3,0,11,4,4,22,15,4,9,0.872289931,0.6,Dev Patel,dev.patel454@example.com,919000000000.0,
29,No,Frequently,1489,Quality Control,13,4,Dairy Science,1,61,4,Male,110,2,1,Dairy Quality Analyst,4,Divorced,42631,4804,8,No,17,4,4,2,15,5,1,26,4,7,15,0.440473061,0.55,Vivek Nair,vivek.nair597@example.com,919000000000.0,
55,Yes,Frequently,514,Quality Control,47,2,Biotechnology,1,62,4,Female,136,1,1,Farm Liaison Officer,2,Married,82444,12176,4,Yes,17,1,3,0,31,3,2,24,10,4,13,0.879340963,0.3,Amit Mehta,amit.mehta234@example.com,918000000000.0,
33,No,Rarely,1264,Maintenance,11,4,Mechanical Engineering,1,63,4,Female,51,2,3,Cold Storage Supervisor,3,Divorced,117158,5936,3,Yes,16,1,3,0,22,4,2,5,3,11,1,0.608213198,0.4,Ankit Trivedi,ankit.trivedi483@example.com,918000000000.0,
50,Yes,Frequently,304,Farm Operations,19,2,Food Technology,1,64,2,Female,99,4,2,Cheese Production Technician,2,Divorced,27883,19096,1,No,12,1,1,2,37,4,4,14,12,3,18,0.523127992,0.5,Sahil Gandhi,sahil.gandhi354@example.com,919000000000.0,
34,No,Rarely,1416,Maintenance,35,2,Biotechnology,1,65,3,Female,124,1,3,Maintenance Engineer,1,Married,39708,11873,2,No,23,3,1,2,33,5,1,29,7,13,10,0.660430226,0.6,Dev Reddy,dev.reddy730@example.com,916000000000.0,
27,No,Non-Travel,553,Quality Control,39,1,Mechanical Engineering,1,66,1,Male,80,1,4,Milk Processing Operator,2,Divorced,66221,13390,5,No,24,4,1,0,33,2,3,13,6,2,18,0.77108742,0.45,Pooja Rana,pooja.rana895@example.com,916000000000.0,
33,No,Rarely,1215,Maintenance,26,3,Logistics,1,67,1,Male,82,4,3,Maintenance Engineer,4,Married,37197,10366,7,No,10,4,3,2,15,0,3,25,10,11,10,0.475945708,0.6,Pooja Iyer,pooja.iyer365@example.com,917000000000.0,
42,No,Rarely,932,Farm Operations,46,3,Biotechnology,1,68,3,Female,127,3,2,Milk Processing Operator,4,Married,41134,16614,7,Yes,14,3,1,2,33,3,3,18,10,1,13,0.223067923,0.45,Meera Iyer,meera.iyer168@example.com,917000000000.0,
59,No,Rarely,908,Farm Operations,14,2,Mechanical Engineering,1,69,1,Female,129,4,3,Dairy Lab Technician,2,Single,53550,8506,4,No,10,1,4,2,39,5,2,12,16,2,14,0.696164409,0.55,Sahil Nair,sahil.nair890@example.com,919000000000.0,
40,No,Rarely,1479,Production,45,1,Biotechnology,1,70,1,Female,60,2,1,Logistics & Supply Chain Coordinator,4,Single,34642,19458,4,Yes,15,2,4,1,6,1,1,13,13,6,6,0.869316749,0.35,Sneha Malhotra,sneha.malhotra207@example.com,917000000000.0,
35,No,Frequently,850,Logistics,44,4,Dairy Science,1,71,3,Female,82,4,4,Maintenance Engineer,4,Married,40439,10783,9,No,20,1,2,1,32,1,3,2,1,7,14,0.637490655,0.6,Pooja Kapoor,pooja.kapoor405@example.com,919000000000.0,
37,No,Frequently,1023,Production,24,4,Mechanical Engineering,1,72,1,Female,56,3,4,Cheese Production Technician,4,Married,117779,13170,2,No,16,2,3,0,3,0,1,3,19,14,7,0.331890135,0.5,Rohit Sharma,rohit.sharma941@example.com,918000000000.0,
43,No,Frequently,1146,Farm Operations,41,2,Dairy Science,1,73,4,Female,80,4,1,Cheese Production Technician,3,Single,44583,16609,6,No,24,1,1,2,6,0,4,25,7,4,3,0.373769773,0.5,Arjun Bose,arjun.bose746@example.com,919000000000.0,
45,No,Rarely,860,Quality Control,1,3,Dairy Science,1,74,2,Female,97,2,1,Farm Liaison Officer,1,Divorced,113885,9322,5,No,24,3,4,0,17,2,3,28,1,10,17,0.836825503,0.3,Priya Sharma,priya.sharma967@example.com,920000000000.0,
44,No,Rarely,298,Quality Control,43,1,Mechanical Engineering,1,75,3,Female,96,2,1,Dairy Quality Analyst,4,Divorced,99538,14174,0,Yes,21,2,3,2,3,1,1,13,14,0,13,0.209493467,0.55,Vivek Joshi,vivek.joshi653@example.com,916000000000.0,
48,No,Rarely,787,Production,22,3,Food Technology,1,76,2,Male,127,3,2,Maintenance Engineer,2,Divorced,82014,18208,3,No,14,3,3,1,10,3,2,13,4,2,17,0.584122666,0.6,Ankit Mehta,ankit.mehta936@example.com,919000000000.0,
34,No,Frequently,481,Farm Operations,23,4,Mechanical Engineering,1,77,1,Male,141,2,3,Logistics & Supply Chain Coordinator,4,Married,39523,4410,5,No,13,2,1,2,19,5,4,25,5,3,3,0.311074352,0.35,Sahil Iyer,sahil.iyer113@example.com,918000000000.0,
20,No,Non-Travel,602,Quality Control,19,3,Food Technology,1,78,1,Male,102,2,4,Cold Storage Supervisor,3,Single,90543,15636,5,Yes,11,4,3,2,10,0,4,7,16,9,1,0.397935105,0.4,Vivek Iyer,vivek.iyer777@example.com,918000000000.0,
44,No,Rarely,1332,Farm Operations,18,4,Biotechnology,1,79,4,Male,129,4,3,Cheese Production Technician,2,Divorced,105971,11039,2,Yes,14,2,1,2,14,0,4,9,7,12,5,0.414887155,0.5,Sneha Malhotra,sneha.malhotra53@example.com,919000000000.0,
26,No,Rarely,899,Quality Control,12,1,Biotechnology,1,80,3,Female,68,1,1,Dairy Lab Technician,1,Single,110629,16990,5,No,18,2,1,1,16,0,4,8,18,12,10,0.353497923,0.55,Riya Kapoor,riya.kapoor109@example.com,917000000000.0,
28,No,Frequently,398,Farm Operations,28,1,Mechanical Engineering,1,81,1,Male,130,2,1,Packaging Machine Operator,2,Single,96830,8441,9,No,13,2,1,1,33,5,2,13,4,11,0,0.754646444,0.4,Karan Gandhi,karan.gandhi350@example.com,917000000000.0,
43,No,Non-Travel,526,Maintenance,28,2,Biotechnology,1,82,3,Female,139,2,3,Cheese Production Technician,2,Married,65538,10685,5,No,23,4,3,1,11,3,2,7,18,3,14,0.432546422,0.5,Rohit Reddy,rohit.reddy476@example.com,920000000000.0,
20,No,Frequently,353,Farm Operations,33,2,Logistics,1,83,3,Male,55,3,4,Maintenance Engineer,2,Divorced,67310,15778,8,No,11,3,3,0,27,1,3,10,13,11,11,0.441839494,0.6,Nisha Mehta,nisha.mehta920@example.com,919000000000.0,
27,No,Non-Travel,751,Farm Operations,19,3,Dairy Science,1,84,3,Female,98,3,2,Dairy Lab Technician,2,Single,30908,15191,8,Yes,22,4,1,2,34,3,2,9,9,0,17,0.51710477,0.55,Sneha Desai,sneha.desai776@example.com,918000000000.0,
43,No,Rarely,604,Production,28,1,Dairy Science,1,85,3,Female,122,4,3,Packaging Machine Operator,4,Married,77290,11732,1,No,24,2,3,1,7,5,2,17,12,9,4,0.831606702,0.4,Riya Sharma,riya.sharma636@example.com,916000000000.0,
30,No,Rarely,661,Maintenance,49,1,Food Technology,1,86,3,Male,99,4,1,Milk Processing Operator,1,Married,73634,5956,3,No,15,1,1,0,26,3,4,3,4,8,10,0.681721122,0.45,Rohit Sharma,rohit.sharma54@example.com,918000000000.0,
36,No,Non-Travel,331,Logistics,37,2,Biotechnology,1,87,2,Male,130,2,1,Logistics & Supply Chain Coordinator,4,Married,32699,8553,8,Yes,17,4,2,1,21,2,2,3,6,11,18,0.243224793,0.35,Karan Kapoor,karan.kapoor744@example.com,918000000000.0,
27,No,Frequently,990,Production,26,4,Food Technology,1,88,4,Female,144,1,2,Cheese Production Technician,3,Divorced,86912,4365,3,No,11,1,3,2,23,5,4,11,9,9,0,0.227483345,0.5,Karan Mehta,karan.mehta732@example.com,920000000000.0,
54,No,Rarely,1073,Logistics,35,3,Dairy Science,1,89,3,Female,61,1,3,Maintenance Engineer,3,Divorced,34255,8668,7,Yes,18,4,3,0,1,0,1,17,10,14,16,0.596472461,0.6,Karan Mehta,karan.mehta876@example.com,917000000000.0,
54,Yes,Frequently,283,Quality Control,34,3,Dairy Science,1,90,2,Female,72,4,2,Packaging Machine Operator,2,Married,99183,7000,9,Yes,16,4,2,1,30,1,1,28,2,14,7,0.820942393,0.4,Nisha Mehta,nisha.mehta366@example.com,916000000000.0,
52,No,Non-Travel,953,Logistics,35,2,Biotechnology,1,91,1,Male,103,3,2,Packaging Machine Operator,4,Divorced,80282,5675,2,Yes,23,2,2,1,21,2,1,7,12,3,15,0.426276033,0.4,Priya Rana,priya.rana74@example.com,920000000000.0,
24,No,Frequently,827,Farm Operations,40,1,Logistics,1,92,3,Male,118,2,4,Dairy Quality Analyst,4,Divorced,78249,14907,2,No,22,3,2,0,0,2,1,2,1,1,10,0.37344028,0.55,Amit Gandhi,amit.gandhi201@example.com,919000000000.0,
58,Yes,Frequently,1332,Logistics,16,2,Logistics,1,93,1,Female,149,2,4,Packaging Machine Operator,1,Single,58176,19336,8,No,11,3,1,0,13,5,1,17,3,12,18,0.723733732,0.4,Rohit Patel,rohit.patel633@example.com,919000000000.0,
47,No,Rarely,420,Production,38,2,Biotechnology,1,94,3,Male,108,1,1,Logistics & Supply Chain Coordinator,1,Married,28163,17136,9,No,20,2,1,0,24,4,1,6,2,8,10,0.621463957,0.35,Dev Bose,dev.bose812@example.com,918000000000.0,
26,No,Frequently,752,Production,13,2,Biotechnology,1,95,2,Female,85,4,3,Dairy Lab Technician,1,Married,74210,13155,7,No,14,4,4,0,35,0,1,0,14,13,14,0.59551914,0.55,Sneha Sharma,sneha.sharma133@example.com,918000000000.0,
28,No,Frequently,1370,Logistics,23,2,Food Technology,1,96,2,Male,52,1,4,Dairy Lab Technician,4,Divorced,91979,14219,0,No,14,3,2,0,35,1,4,21,3,3,7,0.304510839,0.55,Karan Mehta,karan.mehta147@example.com,917000000000.0,
27,Yes,Non-Travel,311,Production,22,4,Biotechnology,1,97,2,Male,107,1,1,Packaging Machine Operator,1,Married,98860,5247,9,No,16,3,4,1,2,1,4,12,3,3,13,0.323172923,0.4,Nisha Malhotra,nisha.malhotra869@example.com,919000000000.0,
31,No,Non-Travel,814,Production,16,4,Logistics,1,98,4,Male,137,4,3,Maintenance Engineer,1,Married,41143,6415,1,No,22,3,1,0,4,1,4,28,14,10,0,0.397251443,0.6,Vivek Desai,vivek.desai261@example.com,918000000000.0,
53,No,Non-Travel,1123,Logistics,28,1,Biotechnology,1,99,1,Male,104,3,1,Cheese Production Technician,1,Married,24920,8472,2,No,24,2,3,0,0,5,4,2,5,5,9,0.344787254,0.5,Pooja Iyer,pooja.iyer587@example.com,919000000000.0,
52,No,Rarely,674,Maintenance,48,2,Food Technology,1,100,4,Male,106,2,4,Maintenance Engineer,2,Divorced,102911,6848,1,No,14,1,2,2,18,0,2,28,4,7,6,0.880011322,0.6,Ankit Reddy,ankit.reddy29@example.com,920000000000.0,
42,No,Frequently,1035,Maintenance,35,4,Food Technology,1,101,3,Female,66,3,1,Farm Liaison Officer,3,Divorced,57996,3037,2,Yes,20,1,3,1,32,5,2,2,11,4,17,0.213027711,0.3,Ankit Patel,ankit.patel158@example.com,918000000000.0,
43,No,Frequently,470,Quality Control,45,1,Food Technology,1,102,1,Female,88,4,3,Cheese Production Technician,3,Divorced,31748,17634,7,No,23,1,1,2,29,1,3,14,6,11,11,0.638239437,0.5,Dev Joshi,dev.joshi463@example.com,918000000000.0,
56,No,Frequently,620,Production,46,2,Food Technology,1,103,2,Male,139,4,3,Milk Processing Operator,4,Single,114071,10262,5,No,15,1,2,1,11,3,2,20,2,7,1,0.562319177,0.45,Arjun Patel,arjun.patel125@example.com,920000000000.0,
